#Brand;BrandDescription;TotalQuantitySales;TotalQuantityPurchase;Profit;MarginPercent
3216;Fleischmanns X Dry Gin;16805;16925;47263.95;36
903;Bombay Sapphire Gin;9357;9534;72162.49;40
6457;Fetzer Valley Oaks Cab Svgn;37;48;74.31;22
871;DeKuyper Blackberry Brandy;112;136;97.52;10
25846;Groth Svgn Bl Napa Valley;5550;5742;38422.40;56
2051;Glenrothes Bourbon Cask Rsv;267;424;-4237.79;-23
27091;Reverdy Sancerre Blanc;28;72;-444.84;-38
45912;L'Ecole No 41 Chenin Bl OV;61;72;278.55;33
27886;Roth Estate Pinot Noir;77;1416;-13090.73;-92
26008;Silver Palm Pnt Nr CC;22;36;-26.10;-6
23827;Fattoria di Basciano Chianti;519;546;2180.03;40
26851;Eric Kent Stiling Vyd Pnt Nr;54;144;-2068.38;-43
8621;Sho Chiku Bai Takara Sake;6281;6295;10613.44;37
37735;Walnut Crest Vnto Pnt Grigio;1692;1722;6350.32;49
2116;Sapling Maple Bourbon;1466;1689;15253.97;33
27440;Achaia Cellars Retsina;21;48;-106.47;-35
14474;Brownstone Moscato;13;36;-104.89;-47
4062;Goslings Dark'N Stormy RTD;5530;5565;12992.75;40
23928;La Mura Rosso;120;132;206.52;33
23888;Cycles Gladiator Petite Sira;61;118;-218.51;-23
27053;Ponte Vinho Verde Rose;21;36;-26.73;-11
44038;Barefoot Pnt Grigio Cal;27580;29195;119053.98;70
22508;Blindfold White;423;501;2325.09;22
1111;Penn Dutch Egg Nog;1231;1247;2282.40;36
22010;LiDestri Red Sangria;484;587;835.03;24
26677;Feudi D San Gregorio Serpico;158;200;686.42;17
25711;Alexander Vly Vyd Cab Svgn;3918;4346;20744.24;49
12256;Rex Goliath Pnt Grigio Free;10;12;25.54;24
7986;Sapling Vermont Maple Liquer;1870;1915;12211.60;28
5067;Zodiac Vodka;495;1605;-8776.05;-59
1734;Duggans Dew O Kirkintilloch;5007;5526;12593.23;13
41033;Menage a Trois White;5734;5835;21321.73;62
1176;Brora 37 Yr Old Single Malt;1;7;-9023.61;-82
3746;Gordons Vodka 80 Proof;57625;58309;227567.87;46
22418;Pizzolato Moscato;75;108;14.61;1
5132;Agavero Tequila Liqueur;31;35;106.04;15
24868;Ch St Sulpice Brdx Blanc;592;709;1442.76;27
6762;Paul Masson Chablis;611;640;1941.49;67
377;Hendrick's Gin;1529;1924;3541.31;6
18529;Cupcake Moscato;442;511;1018.48;39
1174;Rebel Yell;7131;7292;31714.65;27
5334;Kahlua Especial;3002;3027;15750.84;29
26355;Bleu de Mer Rose;724;753;2793.42;42
15837;Ninety+Cellars Lot 37 Shiraz;1795;1800;7921.05;84
20988;Pizzolato Merlot;5;12;-40.41;-38
3765;Three Olives Citrus Vodka;1064;1539;-1159.07;-8
45601;Luigi Bosca Malbec;1210;1211;7419.57;56
1686;Lord Calvert Ducks Decanter;53;162;-6610.77;-56
21232;Barefoot Bubbly Prosecco;2983;3184;10785.09;51
46093;Mouton Cadet Rose;4026;4072;18387.58;69
20792;Belle Ambiance Chard;34;40;65.46;23
26378;Orin Swift Fragile Rose VDP;283;324;1125.41;28
2924;Speyburn 10-Yr Single Malt;4573;4698;26887.63;33
42099;Bota Box Pnt Grigio Cal;8916;8938;62669.64;62
989;Absolut Pears;36;47;69.91;10
3980;Hornitos Reposado Tequila;15381;15805;59920.24;12
21379;Alhambra Red Blend;11;36;-205.79;-56
41348;Felino Vino Cobos Malbec;490;511;2601.34;42
3759;Absolut Elyx;15;16;121.09;22
27264;Red IQ;17;36;-80.65;-30
25192;K Vintners The Klein;2;36;-1614.38;-91
21785;Ghostwriter Pnt Nr;8;24;-242.24;-52
25585;Rex Hill Williamette Pnt Nr;106;115;691.74;29
18664;Corvo Moscato Siciliarvo;812;949;1916.95;31
3376;Tommy Guns Vodka;1967;1973;14152.06;22
7818;Andre Cold Duck;2616;2672;5447.72;55
28856;Seghesio Znfdl Sonoma;7099;8085;55958.60;60
32803;Truchard Carneros Chard;190;197;1812.02;52
22664;B & G Sancerre Svgn Bl;9;12;37.39;18
15827;Frisk Prickly Rsl;3739;3850;12687.11;49
3511;New Amsterdam Vodka;16621;17593;45343.47;36
27764;Warre's Port 2000;20;168;-3438.52;-82
27167;Dom De La Janasse 13 Ch Pape;33;120;-2787.93;-58
13267;Tiamo Prosecco;43;60;85.17;12
46928;Colome Malbec Calchaqui;24;40;-71.84;-10
16756;Cocchi Americano;38;55;26.47;4
50354;Ch Dufort Vivens Marguax;5;12;-130.77;-36
46074;Turning Leaf Pnt Nr RSV VDP;50;60;103.70;23
27291;Waterbrook Chard Rsv Col Vly;176;672;-5379.04;-60
5707;Art in the Age Rhubarb Tea;897;944;7943.55;39
112;Mr Boston Cr de Cacao White;194;229;182.76;17
39708;R Mondavi Pvt Sln Pnt Grigio;7572;8426;23677.26;60
15478;Vietti Barbera D'Asti Vigne;359;466;581.07;10
39449;Ponzi Pnt Gris Willamette;1267;1270;8532.33;123
25072;Mastroberardino Radici Taura;17;24;36.99;4
18363;Sutter Home Rsl;167;178;270.53;37
20990;Biokult Gruner Veltliner;20;24;51.32;22
6510;Simply Ginger Liqueur;98;501;-9782.96;-75
18586;Eric Kent Small Town Pnt Nr;32;48;65.84;5
17011;La Maialina Gertrude Red;2742;2749;12169.78;48
24866;Villa Maria Pnt Nr Private B;39;132;-682.67;-53
8575;The King's Ginger Liqueur;367;611;-2875.59;-21
24048;Ozeki Dry Sake;494;513;1497.96;44
43544;Carlo Rossi RSV Chard Cal;18;24;38.70;16
25817;Guigal Chtnf du Pape;319;324;5806.73;55
2968;Yukon Jack Wicked Hot;11;12;36.81;26
11854;Trivento Amado Sur Malbec;2246;2326;9239.66;47
